"Широта";"Долгота";"Описание";"Подпись";"Номер метки"
52.544358;103.888249;"Город присутствия ГК Росатом";"Ангарск";
51.522664;104.148877;"Город присутствия ГК Росатом";"Байкальск";
52.01843;47.819676;"Город присутствия ГК Росатом";"Балаково";
68.057129;166.451139;"Город присутствия ГК Росатом";"Билибино";
47.519624;42.206329;"Город присутствия ГК Росатом";"Волгодонск";
58.140801;52.674253;"Город присутствия ГК Росатом";"Глазов";
54.152351;33.287881;"Город присутствия ГК Росатом";"Десногорск";
54.217515;49.623924;"Город присутствия ГК Росатом";"Димитровград";
56.250952;93.532677;"Город присутствия ГК Росатом";"Железногорск";
53.196088;45.169071;"Город присутствия ГК Росатом";"ЗАТО Заречный";
56.814966;61.320349;"Город присутствия ГК Росатом";"Заречный";
56.113291;94.588844;"Город присутствия ГК Росатом";"Зеленогорск";
50.098683;118.034146;"Город присутствия ГК Росатом";"Краснокаменск";
51.659518;35.657098;"Город присутствия ГК Росатом";"Курчатов";
58.635513;59.79863;"Город присутствия ГК Росатом";"Лесной";
55.038841;22.028146;"Город присутствия ГК Росатом";"Неман";
51.3091;39.215981;"Город присутствия ГК Росатом";"Нововоронеж";
57.247235;60.095613;"Город присутствия ГК Росатом";"Новоуральск";
55.117082;36.597014;"Город присутствия ГК Росатом";"Обнинск";
55.763189;60.707608;"Город присутствия ГК Росатом";"Озерск";
69.702974;170.274369;"Город присутствия ГК Росатом";"Певек";
67.365788;32.500975;"Город присутствия ГК Росатом";"Полярные Зори";
54.922793;43.344853;"Город присутствия ГК Росатом";"Саров";
56.60319;84.880913;"Город присутствия ГК Росатом";"Северск";
56.087303;60.732707;"Город присутствия ГК Росатом";"Снежинск";
55.081034;21.888656;"Город присутствия ГК Росатом";"Советск";
59.896869;29.076903;"Город присутствия ГК Росатом";"Сосновый Бор";
54.814652;58.44662;"Город присутствия ГК Росатом";"Трехгорный";
57.871648;35.005739;"Город присутствия ГК Росатом";"Удомля";
52.757095;103.637332;"Город присутствия ГК Росатом";"Усолье-Сибирское";
55.78445;38.444858;"Город присутствия ГК Росатом";"Электросталь";
47.499825;34.656007;"Город присутствия ГК Росатом";"Энергодар";
